ref_id,category,structure,description,verification_target,refs_version,static_evidence_level,static_analysis_notes,raw_analysis_notes
GN_IDXH_001,General,Index Header,0x00-0x04: offset to data area start,No,3.4,N/A,Raw disk analysis: data_start field parsed on all MSB+ pages (filesystem_category.md Section 10.3),B+-tree walker reads data area offset from page header+0x50; confirmed working on all images
GN_IDXH_002,General,Index Header,0x0C-0x0D: height of node,No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,PT: Page 0x0C is volume signature (not height). Table header thoff+0x0C contains inner/leaf flag (bit 0x100). Height encoding needs correction.
GN_IDXH_003,General,Index Header,"0x0D-0x0E: flags (0x1 inner, 0x2 root, 0x4 stream)",No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,Inner node flag (0x100 in our encoding at trailer[3]) distinguishes internal from leaf nodes; confirmed by B+-tree walking
GN_IENT_001,General,Index Entry,0x00-0x04: entry length,No,3.4,N/A,Raw disk analysis: entry length parsed on all B+-tree rows; 16-byte header confirmed (GN_BPT_RA_001),Entry parsing confirmed across all tools; entry length used for row traversal
GN_IENT_002,General,Index Entry,0x04-0x06: key offset,No,3.4,N/A,Raw disk analysis: key offset used for key extraction on all tables,Key offset at position 1 in row header struct; used by all B+-tree parsers
GN_IENT_003,General,Index Entry,0x06-0x08: key length,No,3.4,N/A,Raw disk analysis: key length verified against actual key data on all tables,Key length at position 2; validated by successful key extraction across all images
GN_IENT_004,General,Index Entry,0x08-0x0A: flags (0x4 deleted),No,3.4,N/A,Deletion flag confirmed: RefsCommonCleanup removes B+-tree rows but CoW means old pages with deleted entries persist,"PT: Row descriptor flags at +4. Deletion flag 0x4 confirmed via Ghidra (RefsCommonCleanup) | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): Offset/field at 0x08 confirmed on disk. The specific 0x04=deleted semantic is E2/Ghidra-derived (RefsCommonCleanup) and not observable in live pages (deleted rows are pruned via CoW); cannot be disk-confirmed without a torn/old Co"
GN_IENT_005,General,Index Entry,0x0A-0x0C: value offset,No,3.4,N/A,Raw disk analysis: value offset used for value extraction on all tables,Value offset at position 4; used for value extraction in all tools
GN_IENT_006,General,Index Entry,0x0C-0x0E: value length,No,3.4,N/A,Raw disk analysis: value length verified against actual value data on all tables,Value length at position 5; validated by successful parsing of all table types
FS_VBR_013,File System,VBR,Backup boot sector in last sector of volume,No,3.4,E2 (all),"All builds: ReadBootSectorForMount tries sector 0 first, falls back to last sector of volume",
FS_CHKP_001,File System,Checkpoint,Page header with signature 'CHKP',No,3.4,E1,CHKP string found in binary; checkpoint read during mount sequence,CHKP signature at offset 0x00 of both checkpoint pages in all images
FS_SCHM_001,File System,Schema Table,"Defines table schemas, key datatypes, flags, sizes",Yes,3.4,E2,CmsSchemaTable class present; CmsKeyRules class (5 funcs) handles key comparison rules per schema,Schema table parsed on all images; 27 entries (3.4) / 29 entries (3.14)
FS_OTBL_001,File System,Object Table,Key: table identifier,No,3.4,E2,CmsObjectTable::GetObjectRecordOfIdentifier takes table ID key,Object table key is 16 bytes: 8-byte padding + 8-byte OID; confirmed on all images
FS_OTBL_003,File System,Object Table,Duplicate copy exists for resilience,No,3.4,N/A,Dual Object ID Table (IDs 0x02 and 0x04) confirmed,Roots #0 (ID 0x02) and #5 (ID 0x04) are duplicate Object ID Tables in all images
FS_OTBL_004,File System,Object Table,Root directory ID = 0x600,No,3.4,N/A,Raw disk analysis: OID 0x600 confirmed as root directory on all 39 images,OID 0x600 = Root Directory in all 39 images; used as start point by refs_dirfiles.py
FS_OTBL_005,File System,Object Table,File System Metadata ID = 0x520 (like NTFS $Extend),No,3.4,N/A,Raw disk analysis: OID 0x520 confirmed present on all 39 images,OID 0x520 = File System Metadata present in all images
FS_UPCS_001,File System,Upcase Table,UTF-16 uppercase array for case-insensitive names,No,3.4,N/A,"Raw disk analysis: 65536 entries (131072 bytes), 973 non-identity mappings, identical across all 39 images",Upcase table (OID 0x7) parsed by refs_upcase.py; 65536 UTF-16 entries in all images
FS_PCHL_001,File System,Parent-Child Table,Key+value: parent table ID + child table ID,No,3.4,N/A,PreCowParentChildLink and DoomParentChild functions confirm parent-child tracking mechanism,Parent-child relationships parsed on all images; enables directory tree reconstruction via refs_parentchild.py
AP_LGTB_001,Application,Logfile Info Table,0x10/0x8: start offset of data area,No,3.4,N/A,,MLog data area start confirmed via control page field at offset 0xB8
AP_LGTB_002,Application,Logfile Info Table,0x18/0x8: end offset of data area,No,3.4,N/A,,MLog data area end confirmed via control page field at offset 0xC0
AP_LGTB_003,Application,Logfile Info Table,0x20/0x8: size of data area,No,3.4,N/A,,Data area size = end - start; varies by volume size and activity level
AP_LGTB_004,Application,Logfile Info Table,0x28/0x8: LCN of first control entry,No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,Control page 0: PLCN 0x30(3.4) or 0x8000(3.14)
AP_LGTB_005,Application,Logfile Info Table,0x30/0x8: LCN of second control entry,No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,Control page 1: PLCN 0x31(3.4) or 0x8001(3.14)
AP_LGFL_001,Application,Logfile,"Entry Header: 120 bytes, starts with 'MLog'",No,3.4,E1,MLog string found in binary; CmsDurableLog class (43/40 funcs) implements WAL with MLog entries,"MLog control page: 16 fields across 256+ bytes. Version always 1, sector_size matches cluster_size. Complete field map documented from 39 images. Extends Lee's 6-field description to 16-field full layout. Merged from AP_LGFL_RA_001"
AP_LGFL_002,Application,Logfile,"Log Record Header: 56 bytes, checksum",No,3.4,E2,"RE-ATTRIBUTED: the '56 bytes + checksum' is the ENTRY HEADER (Layer 2) at record+0x78 — 56 bytes (64 on Insider) with checksum (8-byte XOR-fold) at entry+0x08 (=page+0x80). Distinct from the equally-56-byte _SmsRedoRecord (Layer 4), which has NO checksum (record_size@+0x00 opcode@+0x04 table_key_path_length@+0x08 object_id@+0x20 flags@+0x2C). The prior note 'per-record checksum not found' is SUPERSEDED — the checksum IS per-record at entry+0x08.",probe_logcore_record.py: entry+0x08 checksum varies per record (win11 0xfa2a568b/0x163223eb/0x1becc9a9) while page+0x04 magic is constant. Inner _SmsRedoRecord still >= 0x38. See finding #319.
AP_LGFL_003,Application,Logfile,Log Record: contains redo records with opcodes,No,3.4,E2,CmsLogRedoQueue (33/38 funcs) processes redo records; PerformRedo function replays opcodes via dispatch table (v3.4: 27 values/25 handlers; v3.14: 37/32),refs_mlog.py parses redo records from two-layer structure (_SmsRedoHeader → _SmsRedoRecord) on 25/25 images. All opcodes match E2 dispatch tables. Replaces broken refs_logfile.py (E10).
AP_LGFL_004,Application,Logfile,"Control Data: sequence number, start/end, next LSN, UUID",No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,"Control page contains: sequence(0x20), UUID(0x10), data start/end(0xB8/0xC0), LSN range(0xC8/0xD0)"
AP_LGFL_005,Application,Logfile,ReFS is redo-only (no undo operations),No,3.4,E2,CmsRestarter: 2-pass recovery (AnalyzePass + RedoPass) with no undo pass. 29 funcs (Win10) / 28 (Win11). CoW means old pages intact — undo unnecessary. See CmsRestarter.md,No undo-related structures found in MLog control or data areas across all 39 images
AP_REDO_001,Application,Redo Opcodes,0x00: OpenTable (v3.4) / OpenTableFromTablePath (v3.14),No,3.4;3.14,E2,PerformRedo dispatch in both Win10 and Win11. Renamed between versions,
AP_REDO_002,Application,Redo Opcodes,0x01: RedoInsertRow,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_003,Application,Redo Opcodes,0x02: RedoDeleteRow,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_004,Application,Redo Opcodes,0x03: RedoUpdateRow,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_005,Application,Redo Opcodes,0x04: RedoUpdateDataWithRoot (v3.4 only — gap in v3.14),No,3.4,E2,Present in v3.4 dispatch; removed in v3.14 (falls to default error),
AP_REDO_006,Application,Redo Opcodes,0x05: RedoReparentTable,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_007,Application,Redo Opcodes,0x06: RedoAllocate,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_008,Application,Redo Opcodes,0x07: RedoFree,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_009,Application,Redo Opcodes,0x08-0x09: RedoSetRangeState (v3.14 only — gap in v3.4),No,3.14,E2,New in v3.14; both values dispatch to same handler,
AP_REDO_010,Application,Redo Opcodes,0x0A: RedoDuplicateExtents,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_011,Application,Redo Opcodes,0x0B: RedoModifyStreamExtent,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_012,Application,Redo Opcodes,0x0C: RedoStripMetadataStreamExtent (v3.4) / CmsStream::StripAllChecksums (v3.14),No,3.4;3.14,E2,Repurposed: checksum handling refactored between versions,
AP_REDO_013,Application,Redo Opcodes,0x0D: RedoSetIntegrity (v3.4) / CmsBPlusTable::SetIntegrityInformation (v3.14),No,3.4;3.14,E2,Renamed between versions; same operation,
AP_REDO_014,Application,Redo Opcodes,0x0E: RedoSetParentId,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_015,Application,Redo Opcodes,0x0F: RedoDeleteTable,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_016,Application,Redo Opcodes,0x10: CmsBPlusTable::SetObjectRecordPayload (v3.4 only — gap in v3.14),No,3.4,E2,Present in v3.4 dispatch; removed in v3.14,
AP_REDO_017,Application,Redo Opcodes,0x11: RedoAddSchema,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_018,Application,Redo Opcodes,0x12: RedoMoveContainer,No,3.4;3.14,E2,v3.4: goto shared handler; v3.14: direct dispatch. Same operation,
AP_REDO_019,Application,Redo Opcodes,0x13: RedoAddContainer,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_020,Application,Redo Opcodes,0x14: RedoMoveContainer (v3.4 only — gap in v3.14),No,3.4,E2,Present in v3.4 dispatch; removed in v3.14,
AP_REDO_021,Application,Redo Opcodes,0x15: RedoMoveContainer goto (v3.4) / dispatch flag (v3.14),No,3.4;3.14,E2,v3.4: goto shared MoveContainer; v3.14: sets dispatch mode flag,
AP_REDO_022,Application,Redo Opcodes,0x16: RedoReadCacheInvalidation (v3.4) / RedoSetRangeState (v3.14),No,3.4;3.14,E2,Repurposed: read cache removed in v3.14; replaced by range state,
AP_REDO_023,Application,Redo Opcodes,0x17: RedoGenerateChecksum (v3.4) / explicit error NTSTATUS 0xC0000427 (v3.14 — the generic unhandled-opcode error),No,3.4;3.14,E2,v3.4: valid handler; v3.14: PerformRedo:239 returns -0x3ffffbd9 = 0xC0000427 (NOT STATUS_LOG_CORRUPTION/0xC01A0003 — CORRECTED 2026-06-18 per J1; was a stale audit false positive).,
AP_REDO_024,Application,Redo Opcodes,0x18: RedoContainerCompression (v3.4) / RedoContainerCompaction (v3.14),No,3.4;3.14,E2,Renamed between versions; same operation,
AP_REDO_025,Application,Redo Opcodes,0x19: RedoDeleteCompressionUnitOffsets,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_026,Application,Redo Opcodes,0x1A: RedoAddCompressionUnitOffsets (v3.4) / RedoGhostExtents (v3.14),No,3.4;3.14,E2,Repurposed: compression offsets replaced by ghost extents,
AP_REDO_027,Application,Redo Opcodes,0x1B: RedoGhostExtents (v3.4 only — gap in v3.14),No,3.4,E2,Present in v3.4; operation moved to 0x1A in v3.14,
AP_REDO_028,Application,Redo Opcodes,0x1C: RedoCompactionUnreserve,No,3.4;3.14,E2,Unchanged across versions,
AP_REDO_029,Application,Redo Opcodes,0x1D: CmsBPlusTable::UnlinkParentObjectId (v3.14 only),No,3.14,E2,New in v3.14. Hard link removal via parent ID unlink,
AP_REDO_030,Application,Redo Opcodes,0x1E: RedoUpdateStreamSummary (v3.14 only),No,3.14,E2,New in v3.14. Prepares stream summary data for 0x1F,
AP_REDO_031,Application,Redo Opcodes,0x1F: CmsStream::UpdateStreamUserPayload (v3.14 only),No,3.14,E2,New in v3.14. Updates stream user payload,
AP_REDO_032,Application,Redo Opcodes,0x21: RedoStreamPersistFastRunInsertion (v3.14 only),No,3.14,E2,New in v3.14. Persist fast run insertion,
AP_REDO_033,Application,Redo Opcodes,0x22: RedoTableSetSummaryUpdate (v3.14 only),No,3.14,E2,New in v3.14. Table set summary update,
AP_REDO_034,Application,Redo Opcodes,0x23: RedoTableSetShadowTreeUpdate (v3.14 only),No,3.14,E2,New in v3.14. Shadow tree update in table set,
AP_REDO_035,Application,Redo Opcodes,0x24: RedoTableSetCommitMerge (v3.14 only),No,3.14,E2,New in v3.14. Commit merge in table set,
AP_REDO_036,Application,Redo Opcodes,0x25: RedoTableSetStrongRefMerge (v3.14 only),No,3.14,E2,New in v3.14. Strong reference merge,
AP_REDO_037,Application,Redo Opcodes,0x27: RedoSetDefaultCompressionParameters (v3.14 only),No,3.14,E2,New in v3.14. Set compression config,
AP_REDO_038,Application,Redo Opcodes,0x28-0x29: RedoDuplicateCluster (v3.14 only),No,3.14,E2,New in v3.14. 0x28 prepares data for 0x29; both dispatch to same handler,
AP_REDO_039,Application,Redo Opcodes,0x2A: RedoChangeRangeEncryptedState (v3.14 only),No,3.14,E2,New in v3.14. Per-range encryption state change,
AP_EVNT_001,Application,Event Patterns,File creation: 0x01->0x04->0x01->0x00->0x04->0x01->0x00,Yes,3.4,E2,Lee's v3.4 opcodes: 0x01=InsertRow 0x04=UpdateDataWithRoot 0x00=OpenTable — plausible CREATE pattern. refs_mlog.py --parse classifies CREATE from OpenTable+InsertRow+SetParentId. Verification possible on v3.4 images.,Lee's pattern matches WRITE transactions (163x on 3 v3.4 images): INSERT UPD_DATA SET_OBJREC OPEN UPD_DATA INSERT OPEN = 0x01 0x04 0x10 0x00 0x04 0x01 0x00. 6/7 opcodes match Lee (position 3: 0x10 vs Lee's 0x01). Actual CREATE is a separate prior transaction: OPEN OPEN UPD_DATA SET_OBJREC INSERT INSERT INSERT SET_PARENT (35x). Lee likely described create-with-content as single operation.
AP_EVNT_002,Application,Event Patterns,File deletion: 0x0F->0x02->0x0F->0x02->0x04,Yes,3.4,E2,Lee's v3.4 opcodes: 0x0F=DeleteTable 0x02=DeleteRow 0x04=UpdateDataWithRoot — plausible DELETE. refs_mlog.py --parse classifies DELETE from DeleteTable/DeleteRow. Needs v3.4 validation.,Core pattern DEL_TABLE DELETE DEL_TABLE DELETE = 0x0F 0x02 0x0F 0x02 observed 23x across 3 v3.4 images. Exact first-4 match. Lee's trailing 0x04 (timestamp update) appears as separate MODIFY transaction in our images.
AP_EVNT_003,Application,Event Patterns,File modification: 0x06->0x04->0x04->0x04->0x04->0x08,Yes,3.4,N/A,Lee's v3.4 opcodes: 0x06=Allocate 0x04=UpdateDataWithRoot 0x08=SetRangeState(gap). 0x08 is a gap in v3.4 dispatch. Pattern includes opcodes not in PerformRedo dispatch table.,6-opcode sequence NOT found as single transaction in any v3.4 image. Individual components observed as separate transactions: ALLOC UPD_DATA (36x) + UPD_DATA (205x) + SET_RANGE (97x). Lee may have used different transaction boundary definition or different v3.4 build. Confidence lowered to Medium.
AP_EVNT_004,Application,Event Patterns,File renaming: 0x02->0x05->0x01->0x04->0x04,Yes,3.4,E2,Lee's v3.4 opcodes: 0x02=DeleteRow 0x05=ReparentTable 0x01=InsertRow 0x04=UpdateDataWithRoot. Pattern contains REPARENT so this is a MOVE (cross-directory) not same-directory rename.,First 4 opcodes DELETE REPARENT INSERT UPD_DATA match our MOVE pattern (23x): DELETE REPARENT INSERT UPD_DATA SET_OBJREC UPD_DATA INSERT. Core 0x02 0x05 0x01 0x04 confirmed. Lee's 'renaming' is actually a move operation. Same-directory rename uses DELETE DELETE INSERT INSERT (no REPARENT).
AP_EVNT_005,Application,Event Patterns,Directory creation: 0x00->0x00->0x04->0x10->...,Yes,3.4,E2,Lee's v3.4 opcodes: 0x00=OpenTable 0x04=UpdateDataWithRoot 0x10=SetObjectRecordPayload — plausible CREATE. refs_mlog.py --parse classifies CREATE from OpenTable+InsertRow+SetParentId.,EXACT MATCH. All 35 CREATE transactions across 3 v3.4 images begin OPEN OPEN UPD_DATA SET_OBJREC = 0x00 0x00 0x04 0x10. Full sequence is 0x00 0x00 0x04 0x10 0x01 0x01 0x01 0x0E (Lee's '...' = INSERT INSERT INSERT SET_PARENT).
AP_EVNT_006,Application,Event Patterns,Directory deletion: 0x02->0x02->0x0F->0x02->...,Yes,3.4,E2,Lee's v3.4 opcodes: 0x02=DeleteRow 0x0F=DeleteTable — plausible DELETE. refs_mlog.py --parse classifies DELETE from DeleteTable/DeleteRow.,Same opcodes {DELETE DEL_TABLE} observed but ordering differs. Dominant pattern (23x): DEL_TABLE DELETE DEL_TABLE DELETE = 0x0F 0x02 0x0F 0x02. Lee: DELETE DELETE DEL_TABLE DELETE = 0x02 0x02 0x0F 0x02. Same opcode composition different ordering — record order within a transaction may vary by context.
AP_EVNT_007,Application,Event Patterns,Directory renaming: 0x02->0x02->0x01->0x01->0x04->0x04,Yes,3.4,E2,Lee's v3.4 opcodes: 0x02=DeleteRow 0x01=InsertRow 0x04=UpdateDataWithRoot — same-directory rename (no REPARENT unlike AP_EVNT_004).,Core pattern DELETE DELETE INSERT INSERT = 0x02 0x02 0x01 0x01 observed 22x across 3 v3.4 images (11x with trailing SET_PARENT + 11x without). Exact first-4 match. Lee's trailing 0x04 0x04 (timestamp updates) appear as separate MODIFY transactions.
AP_WIPE_001,Application,Wiping Patterns,12 tools identified by unique opcode patterns in $Logfile,Yes,3.7,N/A,Lee used v3.7. Opcode numbering may differ from E2 dispatch tables (E10). refs_mlog.py --parse + --csv now enable opcode sequence analysis. Requires controlled wipe experiments to validate.,Requires controlled experiments: run each wipe tool on v3.7 image then analyze MLog via refs_mlog.py --parse.
AP_CHJN_001,Application,Change Journal,Deactivated by default in ReFS,No,3.4,N/A,Cannot confirm default state from static analysis alone,"verify_usn_claims.py: Fresh image (win11refsmini) has empty OID 0x520 (1 row, no Change Journal entry). Activated image (win11refs4gattributestest2) has 3 rows including ""Change Journal"" file entry with stream_count=3. Journal structure absent by default, appears after explicit fsutil usn createjournal."
AP_CHJN_002,Application,Change Journal,Uses USN_RECORD_V3 (128-bit file ref vs NTFS V2 32-bit),No,3.4,N/A,128-bit file references confirmed throughout driver; 128-bit metadata addresses in Prade's format,128-bit keys (8 padding + 8 OID) observed in Object Table across all images
AP_CHJN_003,Application,Change Journal,Circular buffer; old entries overwritten,No,3.4,N/A,,
AP_CHJN_004,Application,Change Journal,Located in File System Metadata/Change Journal,No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,"verify_usn_claims.py: OID 0x520 is ""FS Metadata"" directory (child of root 0x600 per parent-child table). Contains ""Change Journal"" file entry when journal is active. Path confirmed: Root (0x600) / FS Metadata (0x520) / Change Journal."
GN_ARCH_SA_001,General,Architecture,Two-layer namespace separation: Refs* (1248 funcs) vs Cms*/Ms* (871 core funcs) in Win10; Refs* (1084) vs Cms*/Ms* (552 core classes) in Win11,No,both,E2,Quantitative confirmation not available in literature; Prade describes concept but not function counts,
GN_IRP_SA_001,General,Architecture,Three-tier IRP dispatch: RefsFsd* (exception frame) -> RefsCommon* (logic) -> Cms* (storage). 13 dedicated + 5 dispatched = 18 handlers (Win10); 13+7=20 (Win11),No,both,E2,IRP dispatch pattern and handler counts not documented in literature,
GN_BIN_SA_001,General,Binary,Binary growth: refs.sys 1.92MB->3.53MB (+84%); 3959->5818 funcs (+47%); 415->566 imports (+36%); 1562->4445 strings (+185%). PDB-named: 2553(64.5%) / 2565(44.1%) / 2878(44.8%),No,both,E2,Ghidra quick.json total_functions + pdb_named_functions for all 3 binaries,
GN_ALLC_SA_001,General,Refactoring,Win11 allocator unification: CmsAllocatorBase(42)+CmsGlobalAllocator(43) -> CmsAllocator(106). Allocation zones: 9->13,No,3.14,E2 (win11+),,
GN_AMGR_SA_001,General,Refactoring,"Win11 RefsAttributeManager class: centralized attribute CRUD (LookupAttribute, CreateAttribute, DeleteAttribute). Win10 was purely procedural",No,3.14,E2,,
GN_EFS_SA_001,General,Encryption,"Win11 EFS integration: 2->182 encryption functions; imports from cng.sys; $EFS attribute; RefsSetEncryption(38KB), RefsReadRawEncrypted(31KB), RefsWriteRawEncrypted(38KB)",No,3.14,E2 (win11+),,
GN_HEAT_SA_001,General,Heat Engine,"Win11 heat-based tiering: 2->55 funcs; CmsVolumeHeatEngine + CmsRotatingSkipList; SmsCompressionHeatClass, SmsDecompressionHeatClass, SmsRecompressionHeatClass",No,3.14,E2 (win11+),,No structural difference visible on disableheatgathering image vs default
GN_COMP_SA_001,General,Compression,Win11 embeds ZSTD(281 funcs) + LZ4(15 raw funcs); replaces Win10 CmsCompressionLZX(7 funcs). ZSTD added at v3.14 alongside existing LZ4. refsutil.exe also embeds 344 library functions,No,3.14,E2,function_catalog.csv prefix counts for ZSTD_/LZ4_; Ghidra quick.json confirms,"NORMALIZED 2026-06-19 (was NOT_CONFIRMED: static function-count evidence, no disk-visible structural effect): 4 compression-enabled images parse identically to non-compressed; no visible structural effect at metadata level"
GN_DEDUP_SA_001,General,Dedup,"Win11 native dedup: 7 new functions (MsIsDedupEnabled, MsDisableDedup, RefsQueryVolumeDedupInfo). CmsBlockRefcount grows 23->27 funcs",No,3.14,E2 (win11+),,"NORMALIZED 2026-06-19 (was NOT_CONFIRMED: static function-count evidence, no disk-visible structural effect): Dedup-enabled image (win11refs8gdedup) shows no structural difference; refsutil dedup returns 'not supported'"
GN_SNAP_SA_001,General,Snapshots,Win11 snapshot support: 6->24 functions; CStreamSnapshot class; $SNAPSHOT attribute; no SnapshotId field in $SI; 0x50=PackedEaSize. Snapshots link via the type-0xB0 stream index at val[0x44],No,3.14,E2 (win11+),,"Snapshot-enabled image shows no additional root tables or visible structural changes | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was NOT_CONFIRMED): Function-count and class-name claims are static (E2 win11+). Disk confirms snapshots add no new root tables and live as 0xB0 sub-records, consistent with the claim."
GN_WSL_SA_001,General,WSL,Win11 WSL interop: native $LXUID/$LXGID/$LXMOD/$LXDEV attributes; IRP_MJ_QUERY_EA + IRP_MJ_SET_EA handlers added,No,3.14,N/A,,No WSL-enabled images tested; would need WSL usage to populate these attributes
GN_CROT_SA_001,General,Container Rotation,"Win11 container rotation for flash wear leveling: CmsVolumeContainer 72->130 funcs (+81%); RotateContainers, PersistCompactionExtentsNoAbort",No,3.14,E2 (win11+),,
GN_KSR_SA_001,General,KSR,"Win11 Kernel Soft Restart: 6 imports from ext-ms-win-ntos-ksr-l1-1-1.dll (KsrMdlToMemoryRuns, KsrGetFirmwareInformation, etc.)",No,3.14,N/A,,
