ref_id,proof_class,category,structure,description,verification_target,refs_version,static_evidence_level,static_notes,raw_notes
FS_CHKP_003,PURE-RD-LAYOUT,File System,Checkpoint,0x56-0x58: minor ReFS version,No,3.4,N/A,"Raw disk analysis: 4 for Win10, 14 for Win11; confirmed across all images",Minor version matches VBR: 4(Win10) or 14(Win11)
FS_CHKP_004,PURE-RD-LAYOUT,File System,Checkpoint,0x58-0x5C: self-descriptor offset,No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,Self-descriptor offset used for root reference size calculation; confirmed at 0x5C
FS_CHKP_005,STRUCTURAL,File System,Checkpoint,0x60-0x68: checkpoint virtual clock,No,3.4,E2 (insider),GetCurrentCheckpointVirtualClock function exists in all builds; clock incremented at each checkpoint. Insider-only: CmsRollbackProtection stores this in UEFI NVRAM for anti-rollback,Virtual clock at CHKP+0x10 (not 0x60 as in Prade); increases monotonically; higher value selects active checkpoint
FS_CHKP_006,PURE-RD-LAYOUT,File System,Checkpoint,0x68-0x70: allocator virtual clock,No,3.4,N/A,Raw disk analysis: allocator clock ranges 23-7200+ across all images; separate from but correlated with virtual clock,Allocator clock always slightly lower than checkpoint virtual clock (typically vclock-3 to vclock-5)
FS_CHKP_007,STRUCTURAL,File System,Checkpoint,0x70-0x78: oldest log record reference (compound u64: byte offset + segment number),No,3.4,E2,CmsDurableLog::GetRecoveryDurableLsn returns oldest LSN needed; used by CmsRestarter for analysis pass start,"Compound u64: low 32 bits = log area byte offset, high 32 bits = log segment number. Both CHKPs always identical. Values range from 0x39 (minimal) to 0x138C8 (heavy usage). See ra_step4_12_deep_structure_report.md | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): LOW. Offset/size disk-confirmed; the 'oldest log record reference' compound-field semantic is E2/structural, not byte-checkable here."
FS_CHKP_008,PURE-RD-LAYOUT,File System,Checkpoint,0x90-0x94: pointer count (13 global tables),No,3.4,N/A,13 global table references confirmed through function analysis of checkpoint initialization code,All images report exactly 13 global root tables from checkpoint; field at offset 0x90
FS_CHKP_009,STRUCTURAL,File System,Checkpoint,Global table 0x02: Object ID Table,No,3.4,E2,"CmsObjectTable class (31 funcs Win10 / 29 Win11); InitializeTable, GetObjectRecordOfIdentifier",Root #0 has table ID 0x02 in all images; successfully parsed by refs_object_table.py
FS_CHKP_010,STRUCTURAL,File System,Checkpoint,Global table 0x21: Medium Allocator Table,No,3.4,E2,Allocator tables managed by CmsAllocatorBase (Win10) / CmsAllocator (Win11),Root #1 has table ID 0x21; uses virtual addressing (container-translated)
FS_CHKP_011,PURE-RD-LAYOUT,File System,Checkpoint,Global table 0x20: Container Allocator Table,No,3.4,N/A,Same allocator infrastructure,Root #2 has table ID 0x20; uses virtual addressing (INVALIDATES Prade claim of real addressing)
FS_CHKP_012,STRUCTURAL,File System,Checkpoint,Global table 0x01: Schema Table,No,3.4,E2 (win10),CmsSchemaTable class (7 funcs Win10),Root #3 has table ID 0x01; parsed by refs_schema.py on all images
FS_CHKP_013,STRUCTURAL,File System,Checkpoint,Global table 0x03: Parent Child Table,No,3.4,E2,CmsObjectTable::DoomParentChild and PreCowParentChildLink confirm parent-child tracking,Root #4 has table ID 0x03; parsed by refs_parentchild.py
FS_CHKP_014,PURE-RD-LAYOUT,File System,Checkpoint,Global table 0x04: Object ID Table (duplicate),No,3.4,N/A,Duplicate confirmed by dual-table init pattern,Root #5 has table ID 0x04; same structure as root #0
FS_CHKP_015,STRUCTURAL,File System,Checkpoint,Global table 0x05: Block Reference Count Table,No,3.4,E2,CmsBlockRefcount class (23 funcs Win10 / 27 Win11),Root #6 has table ID 0x05; valid MSB+ pages
FS_CHKP_016,STRUCTURAL,File System,Checkpoint,Global table 0x0B: Container Table,No,3.4,E2,CmsVolumeContainer class manages container table,Root #7 has table ID 0x0B; uses REAL LCNs (bootstrap exception); VLCN=PLCN in all images
FS_CHKP_017,PURE-RD-LAYOUT,File System,Checkpoint,Global table 0x0C: Container Table (duplicate),No,3.4,N/A,Dual container table pattern confirmed,Root #8 has table ID 0x0C; uses REAL LCNs; VLCN=PLCN
FS_CHKP_018,PURE-RD-LAYOUT,File System,Checkpoint,Global table 0x06: Schema Table (duplicate),No,3.4,N/A,Dual schema table pattern confirmed,Root #9 has table ID 0x06; uses virtual addressing
FS_CHKP_019,PURE-RD-LAYOUT,File System,Checkpoint,Global table 0x0E: Container Index Table,No,3.4,N/A,,Root #10 has table ID 0x0E; valid MSB+ pages in all images
FS_CHKP_020,STRUCTURAL,File System,Checkpoint,Global table 0x0F: Integrity State Table,No,3.4,E2,"CmsIntegrityState class (win10=17, win11=12, insider=13; contraction, not growth)",Root #11 has table ID 0x0F; present in all images regardless of integrity setting
FS_CHKP_021,PURE-RD-LAYOUT,File System,Checkpoint,Global table 0x22: Small Allocator Table,No,3.4,N/A,Part of allocator table hierarchy,Root #12 has table ID 0x22; uses REAL LCNs (bootstrap fallback); VLCN=PLCN in all images
FS_CHKP_RA_001,STRUCTURAL,File System,Checkpoint,"CHKP flags (0x78-0x7B) full decomposition: bit 0x002=always set, bit 0x080=native Win11 format (format-time only), bit 0x200=indirect root list mode, bit 0x400=CRC64 metadata checksumming, bits 0x010+0x020+0x100=dedup-specific. 4 observed composite values: 0x002(Win10), 0x602(upgraded), 0x682(native Win11), 0x7b2(Win11+dedup)",No,3.14,E2,ValidateCheckpointRecord: flags at CHKP+0x78 checked for 0x200 (indirect root mode) and other bits. See static_analysis_main_v2.md,Flags 0x682 for native Win11 vs 0x602 for upgraded Win10. 0x7b2 for dedup volumes. Bit 0x080 absent on upgraded volumes = format-time flag for native 3.14. Bit 0x200 controls root pointer parsing mode (direct vs indirect). Bit 0x400 correlates with CRC64 metadata checksumming (from ValidateCheckpointRecord SA). Bits 0x010/0x020/0x100 appear only on dedup-enabled volumes. See report_checkpoint_deep_analysis.md
FS_CHKP_RA_002,STRUCTURAL,File System,Checkpoint,"CHKP root reference sizes: 0x68(3.4), 0x30(3.14/CRC64), 0x48(3.14/SHA256)",No,both,E2,ValidateCheckpointRecord: ref_size derived from checksum type and version flags,Reference size determined by version+checksum combination. 3.14 uses compacted references
FS_CHKP_RA_003,PURE-RD-LAYOUT,File System,Checkpoint,3.4->3.14 upgrade: CHKP flags change from 0x002 to 0x602 (adds 0x200+0x400). Ref_size changes from 0x68 to 0x30. New schemas added (union of old+new). Container Table and Small Allocator physically relocated to lower LCNs. ~35-41 checkpoint cycles observed.,No,3.14,N/A,Upgrade behavior; not directly verifiable from driver static analysis,Flags 0x002->0x602 confirmed. Ref_size 0x68->0x30. VBR immutable (0x2A/0x2C/0x48 unchanged). Extensive metadata reorganization.
FS_CHKP_RA_005,STRUCTURAL,File System,Checkpoint,"CHKP 0x88-0x8B: data area end offset. Value = first_root_offset + root_count * ref_size. 0x680 for 3.4 (13x104B refs from 0x138), 0x380 for 3.14 (13x48B refs from 0x110)",No,both,E2,ValidateCheckpointRecord computes data area bounds from root_count * ref_size,"Mathematically verified: 3.4: 0x138+13*104=0x680. 3.14: 0x110+13*48=0x380. Serves as bounds check for driver. See report_checkpoint_deep_analysis.md | RE-VERIFIED 2026-06-18 (all-disk): CHKP+0x88 data-area-end is NOT 'first_root_offset + root_count*ref_size'. v3.4: disk=0x680 but 0x94+13*0x68=0x5dc (mismatch). v3.14: disk=0x380/0x388 but 0x94+13*0x30=0x274. The headline VALUES (0x680 v3.4, ~0x380 v3.14, ~0x4d0 SHA256) are "
FS_CHKP_RA_007,STRUCTURAL,File System,Checkpoint,CHKP 0x50-0x53: version echo field. Contains 0x00 on Win10 (3.4) and packed version 0x000E0003 on Win11 (3.14),No,both,E2,CmsVolume::ReadLatestCheckpoint reads version field at checkpoint offset,Win10: 0x00000000. Win11 native and upgraded: 0x000E0003 (=3.14 packed as major|minor). See report_checkpoint_deep_analysis.md
FS_CHKP_RA_011,STRUCTURAL,File System,Checkpoint,CHKP 0x7C-0x87: 12-byte reserved field. Prade Table 4.7 labeled these as 'Offset to table references' (0x7C) 'Table reference count' (0x80) and 'Offset to unknown buffer' (0x84). All three are always zero on all 66 images tested (Prade correction).,No,all,E2,Field not accessed by ValidateCheckpointRecord — confirmed reserved,Verified zero on 13 representative + previously confirmed on 48 images (Step 4.5). See ra_step4_12_deep_structure_report.md
FS_CHKP_RA_012,PURE-RD-LAYOUT,File System,Checkpoint,"CHKP 0x8C: 0x20 (32) OR 0x0 — NOT always 32. CORRECTED 2026-06-18: it co-varies with CHKP+0x88 (both populated=0x20 / both zero=0x0); zeroed on native-v3.14 checkpoints. So '+0x88/+0x8C' is a field-pair, not a static 'max root capacity = 32' constant (no E2 ties it to MS_CHECKPOINT_MAX_ROOTS as a literal).",No,all,N/A,"RE-MEASURED 2026-06-18: CHKP+0x8C distinct values {32,0}; 56/226 checkpoint reads (= 28 native-v3.14 images x 2 slots) read 0, joint with 0x88=0. Matches structure_reference §A.4 / finding #339. The earlier 'always 0x20' was RD on a corpus that never observed the zeroed case.","See structure_reference §A.4, finding #339; both-zero on native v3.14."
FS_CHKP_RA_013,STRUCTURAL,File System,Bootstrap Chain,"Three forensically distinguishable volume states via CHKP flags: original v3.4 (0x002), upgraded v3.4->v3.14 (0x602), native v3.14 (0x682). Missing bit 0x080 distinguishes upgraded from native.",Yes,both,RD,verify_static.py: decompiled code / function catalog evidence,Verified on 20 images: flag patterns are invariant within each category
FS_DEL_RA_001,STRUCTURAL,File System,Deletion and Recovery,ReFS file deletion flow: RefsDeleteFile → MsDeleteRow (removes from directory B+ tree) → MsReparentFileToTrash → CmsTrashTable::AddFileTable (OID 0xD queues for cleanup) → background TrashCleanerWorkItemMethod → DeleteFileTable (frees data extents). CoW ensures old directory pages persist. Recovery: (1) Trash Table scan (2) checkpoint comparison (3) orphaned MSB+ page scan.,No,all,E2 (insider),RefsDeleteFile RefsDeleteFileId2 MsDeleteRow MsReparentFileToTrash CmsTrashTable::AddFileTable TrashCleanerWorkItemMethod CmsTrashTable::DeleteFileTable in Insider refs.sys,All 66 test images: empty trash tables and identical checkpoints (no recent deletions). 1222 orphaned leaf pages on millionsofactions image but contain allocator rows not directory entries. Tool: refs_deleted.py
FS_OTBL_002,PURE-RD-LAYOUT,File System,Object Table,Value: page ref + durable LSN + variable buffer. Row header 8xu32 at start; generation counter at u32[6] = checkpoint virtual clock,No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,"Deep decode (FS_OTBL_RA_002): 8xu32 header (format=2, reserved, key_off=0x18, val_off=0x30, record_len, reserved, generation, dirty_gen) + LCN tuple (4xQ) + checksum. v3.10 compact format (80/88B) vs legacy (200/208B)"
FS_OTBL_RA_004,STRUCTURAL,File System,Object Table,OID 0x501 = Volume Information Table (failover/duplicate). Created alongside OID 0x500 by InitializeVolumeInfoTable using MsCreateDurableFailoverTableObject with schema 0x150 and count=2.,No,all,E2,"InitializeVolumeInfoTable decompiled: MsInitializeWellKnownObjectId(0x500, 0x501), schema=0x150, MsCreateDurableFailoverTableObject",OID 0x501 present on all 48 images. Same failover pattern as 0x07/0x08 and 0x09/0x0A
FS_OTBL_RA_007,PURE-RD-LAYOUT,File System,Object Table,OID chronology analysis: 400 objects in range 0x700-0x8F9 on test image (76.6% density). 128-bit File IDs encode table OID (upper 8B) + sequential entry index (lower 8B). Generation counter at Object Table value offset 0x18 = checkpoint virtual clock at creation/last update. ReFS provides stronger chronological guarantees than NTFS (no record reuse),No,all,N/A,ra_step4_20_refs_chronology_analysis.md,See ra_step4_20_refs_chronology_analysis.md
FS_OTBL_SA_004,STRUCTURAL,File System,Object Table,MsSetMinimumNewObjectId: format-time initialization that HARDCODES 0x700 as minimum user OID. Called during volume format. Boundary between system OIDs (0x01-0x6FF) and user OIDs (0x700+). 166 bytes (Insider).,No,all,E2 (insider),ObjectIdLifecycle.md §2.4. 0x700 boundary confirmed in all three driver versions,See ObjectIdLifecycle.md
FS_OTBL_SA_006,STRUCTURAL,File System,Object Table,"MsInitializeWellKnownObjectId: trivial 12-byte helper constructing 128-bit SmsBigIdentifier from a 64-bit well-known OID value (e.g. 0x600=root dir, 0x500=volume info). Sets upper 8 bytes to 0.",No,all,E2,ObjectIdLifecycle.md §2.6,See ObjectIdLifecycle.md
FS_OTBL_SA_007,STRUCTURAL,File System,Object Table,MsGetObjectRecordPayload: 46-byte helper extracting LcnWithChecksum pointer from Object Table row. Returns pointer to the page reference within the row's value buffer at offset derived from row header.,No,all,E2,ObjectIdLifecycle.md §3.2,See ObjectIdLifecycle.md
FS_SUPB_001,STRUCTURAL,File System,Superblock,Located at cluster 0x1E (30),No,3.4,E2,Superblock location is a fixed constant; not directly visible in decompilation but consistent with mount code flow,SUPB found at partition_start + 30*cluster_size in all 39 images
FS_SUPB_002,PURE-RD-LAYOUT,File System,Superblock,0x50-0x60: volume GUID,No,3.4,N/A,Raw disk analysis: 16-byte GUID at SUPB+0x50 confirmed; XOR-folded to page header vol_sig (filesystem_category.md Section 2.3),Volume GUID extracted from SUPB+0x50; matches VBR GUID; preserved across version upgrade
FS_SUPB_003,PURE-RD-LAYOUT,File System,Superblock,0x68-0x70: superblock version/recency,No,3.4,N/A,Raw disk analysis: always value 1 across all 39 images,Version field always reads 1 across all images (both 3.4 and 3.14)
FS_SUPB_004,PURE-RD-LAYOUT,File System,Superblock,0x70-0x74: offset to checkpoint references,No,3.4,N/A,Raw disk analysis: always 0xC0 across all 39 images,Offset consistently at 0x70; points to checkpoint reference array
FS_SUPB_005,STRUCTURAL,File System,Superblock,0x74-0x78: number of checkpoint refs (typically 2),No,3.4,E2,Alternating A/B checkpoint scheme confirmed via CmsVolume checkpoint code; recovery picks highest sequence number,Always 2 checkpoint references in all 39 images
FS_SUPB_006,PURE-RD-LAYOUT,File System,Superblock,0x78-0x7C: self-descriptor offset/length,No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,Offset=0xD0 length=0x30 (48 bytes for CRC64 mode). Contains self-referencing page reference to LCN 0x1E
FS_SUPB_007,PURE-RD-LAYOUT,File System,Superblock,Two backup copies near end of partition,Yes,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,"2 backups at LCN total_clusters-2 and total_clusters-3 (RE-MEASURED 2026-06-18, SUPB signature found at delta 2 AND 3 on 113/113 images; the earlier '-14339/-14338' was wrong). Identical GUID/chkp refs to primary."
FS_SUPB_RA_003,PURE-RD-LAYOUT,File System,Superblock,SUPB corruption is silently repaired during mount by Win11 3.14 driver. Corrupted Volume GUID byte (0x2A→0xD5) at SUPB+0x55 was restored to original value during mount. Repair occurs as part of normal checkpoint update cycle (CoW write of fresh SUPB).,No,all,N/A,On-disk layout observation; not directly verifiable from driver code,Binary comparison: corrupted byte 0xD5 reverted to 0x2A after mount. 82 pages changed during mount. See ra_step4_15_corrupted_metadata_report.md
FS_SUPB_RA_005,PURE-RD-LAYOUT,File System,Superblock,CHKP LCN pointers at SUPB offsets 0xC0 and 0xC8 are the only bootstrap-critical SUPB fields. If both are corrupted the driver cannot find any checkpoint and the volume should fail to mount. CHKP corruption NOT tested.,No,all,N/A,On-disk layout observation; not directly verifiable from driver code,Inferred from successful mount with GUID corruption: only CHKP pointers needed for bootstrap chain. See ra_step4_15_corrupted_metadata_report.md
FS_SUPB_RA_006,PURE-RD-LAYOUT,File System,Superblock,Mount on clean volume triggers ~27 checkpoint increments and ~82 page writes. CHKP virtual clock advanced from 64 to 91. This represents normal mount metadata activity including SUPB refresh.,No,all,N/A,On-disk layout observation; not directly verifiable from driver code,Observed on win11refsmini_aftercorruption_openedwith314.raw vs baseline. See ra_step4_15_corrupted_metadata_report.md
FS_VBR_001,STRUCTURAL,File System,VBR,0x00-0x03: reserved jump instruction (zeros),No,3.4,E2 (all),RefsIsBootSectorOurs (present in all 3 builds: Win10/Win11/Insider) confirms these bytes are skipped; validation starts at offset 0x03,All 39 images show zeros at bytes 0-2 of VBR
FS_VBR_003,STRUCTURAL,File System,VBR,0x10-0x14: FSRS identifier 'FSRS',No,3.4,E2 (insider),Insider decompilation shows validation starts with ReFS sig at 0x03; FSRS at 0x10 not explicitly checked in RefsIsBootSectorOurs,'FSRS' signature confirmed at offset 0x10 in all valid images by refs_boot.py
FS_VBR_004,PURE-RD-LAYOUT,File System,VBR,0x14-0x16: VBR size 0x200,No,3.4,N/A,All builds: offset 0x14 is structure size field (ushort); must be > 0x57 and <= sector_size. Value 0x200 = 512 bytes confirms Prade,Value 0x200 observed in all images
FS_VBR_005,PURE-RD-LAYOUT,File System,VBR,0x16-0x18: checksum for boot sector,No,3.4,N/A,All builds: rolling 16-bit checksum with rotate-left-1 + add; computed over bytes 3..size; skips checksum field itself at 0x16-0x17,refs_boot.py validates checksum on all 39 images; all pass
FS_VBR_006,STRUCTURAL,File System,VBR,0x18-0x20: sector count (volume size),No,3.4,E2 (all),All builds: uint64 at 0x18; validated as != 0; stored in VCB+0x1F0,Sector count matches file size / sector_size across all images
FS_VBR_007,STRUCTURAL,File System,VBR,0x20-0x24: bytes per sector (0x200),No,3.4,E2 (all),All builds: uint32 at 0x20; validated range 0x200-0x1000; stored in VCB+0x114,All images show 0x200 (512 bytes per sector)
FS_VBR_008,STRUCTURAL,File System,VBR,0x24-0x28: sectors per cluster,No,3.4,E2 (all),All builds: called 'cluster factor'; validated as 0x80/0x100/0x200 (64/128/256 KiB). Cluster size = factor * sector_size stored in VCB+0x110,Values 0x08 (4K clusters) and 0x80 (64K clusters) observed; matches cluster_size/sector_size
FS_VBR_009,STRUCTURAL,File System,VBR,0x28-0x2A: major/minor ReFS version,No,3.4,E2 (all),All builds: ushort at 0x28 stored in VCB+0x318,3.4 on all Win10 images; 3.14 on all Win11 and upgraded images
FS_VBR_010,STRUCTURAL,File System,VBR,0x38-0x40: volume serial number,No,3.4,E2 (all),All builds: uint64+ at 0x38 is Volume GUID; stored in VCB+0x1F8,Unique GUID per volume; preserved across upgrade (win10to11refs4g)
FS_VBR_011,PURE-RD-LAYOUT,File System,VBR,0x40-0x48: bytes per container,No,3.4,N/A,Raw disk analysis: 0x04000000 (64 MiB) at offset 0x40 confirmed on all 39 images; invariant constant,Always 0x4000000 (64 MiB) across all 39 images regardless of cluster size
FS_VBR_012,STRUCTURAL,File System,VBR,"0x2A-0x37: 14 bytes unknown in Nordvik/Prade. 0x2A=checksum algo selector, 0x2B=reserved, 0x2C-0x2F=volume flags (0x06 Win10 / 0x66 Win11), 0x30-0x37=reserved",Yes,3.2/3.4,E2 (all),All builds: 0x2A=checksum algorithm selector (1 byte; insider calls it 'boot option'); 0x2C=volume flags (4 bytes; insider names bits 5-6 'boot behavior'). Cluster factor validated as 0x80/0x100/0x200. Merged from FS_VBR_SA_001 (cross-build static analysis),"0x2A confirmed as checksum algorithm selector: 0=None(3.4), 2=CRC64(default 3.14), 4=SHA256. Immutable on upgrade: Win10-formatted volumes always 0=None even after 3.14 upgrade. Volume flags at 0x2C: Win10=0x06 (bits 0x02+0x04) vs Win11=0x66 (bits 0x02+0x04+0x20+0x40). Bit 0x02=mount marker (set by driver on first mount, RefsMountVolume decompiled). Bit 0x04=always present on valid ReFS. Bit 0x10=recovery/dirty (decompiled but never observed). Bit 0x20=Win11 format-time boot behavior. Bit 0x40=gates VBR 0x2A checksum algo (insider: 'used only if flags bit 6 set'). 0x30-0x37 always zero (reserved). See report_boot_sector_deep_analysis.md | RE-VERIFIED 2026-06-18 (all-disk): claimed flags are 0x06(Win10)/0x66(Win11); disk shows 0x26 is the genuine v3.7/v3.9 value (already documented in structure_reference Subtable A.1c), so the two-value summary in FS_VBR_012 is wrong/incomplete."
FS_VBR_RA_004,STRUCTURAL,File System,VBR,BitLocker FVE marker '-FVE-FS-' at VBR+0x03 replaces ReFS signature when volume is encrypted,No,both,E2,"RefsIsBootSectorOurs checks for ""ReFS"" at +0x03; FVE replaces this. ReadBootSectorForMount handles both paths",Confirmed on win11refs4gbitlocked. FVE header (eb 58 90 2d 46 56 45 2d 46 53 2d) completely replaces ReFS VBR
FS_VBR_RA_005,PURE-RD-LAYOUT,File System,VBR,refsutil fixboot zeroes VBR fields 0x2A-0x57 (serial/container/GUID) — preserves only geometry (sector/cluster/count/version),No,3.14,N/A,refsutil.exe behavior; not in refs.sys driver,"Documented from fixboot test. 29 bytes differ. Container size=0 makes mounting impossible | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): Behavioral STATIC-CITED claim. I cannot run refsutil, but the single fixboot artifact on disk matches every asserted effect (zeroes 0x2A-0x57 incl serial/container/GUID, preserves geometry). Single-image, so INFERRED rather than A"
FS_VBR_RA_007,PURE-RD-LAYOUT,File System,VBR,refsutil fixboot changes checksum selector (0x2A) from 0x02 to 0x00 — mismatches existing CRC64 metadata,No,3.14,N/A,refsutil.exe behavior; not in refs.sys driver,"Volume formatted with CRC64 but fixboot resets to None; integrity check mismatch prevents mount | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): Behavioral; the fixboot 0x2A->0x00 effect is visible on the one fixboot image. 'Mismatches existing CRC64 metadata' is an inference about mount behavior, not re-measured."
FS_VBR_RA_009,PURE-RD-LAYOUT,File System,VBR,Version evolution: 3.7/3.9 structurally identical to 3.4; 3.10 is critical transition (CRC64+indirect roots+compact refs+native flag+version echo+Format GUID+OID 0x30); CHKP flag 0x2000 = insider-only,No,3.7;3.9;3.10;3.14;insider,N/A,7 new images from Step 4 version analysis (21H2/22H2/23H2/Insider),"7 new images from Step 4 version analysis (21H2/22H2/23H2/Insider). See sublab_step4_version_analysis.md | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): Multi-part behavioral claim; the VBR-observable parts (CRC64 selector, GUID, native flag, version echo at v3.10) are disk-consistent. Non-VBR parts (indirect roots, compact refs, OID changes) are out of this region's scope -- belo"
FS_VBR_SA_013,STRUCTURAL,File System,VBR,"RefsIsBootSectorOurs: validates boot sector ownership. Checks ""ReFS"" signature at +0x03, sector size power-of-2, volume sector count > 0. Returns BOOLEAN.",No,insider,E2 (insider),See RefsIsBootSectorOurs.md. Decompiled from Insider build,
FS_VINF_001,STRUCTURAL,File System,Volume Info Table,"Volume label row (key 0x510, UTF-16)",No,3.4,E1,$VOLUME_NAME and $VOLUME_INFORMATION string literals confirmed in binary,Volume label extracted as UTF-16LE from key 0x510 row; refs_volume_info.py works on all images
FS_VINF_002,PURE-RD-LAYOUT,File System,Volume Info Table,"General info: creation/mount times, version",No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,"Volume info rows contain timestamps (creation, last mount) parsed by refs_volume_info.py"
FS_VINF_003,PURE-RD-LAYOUT,File System,Volume Info Table,Backup block row (key 0x540),No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,"OID 0x540 present in Object Table of all images | RE-VERIFIED 2026-06-18 (all-disk): claimed 'Backup block row (key 0x540)'; disk shows key 0x540 in OID 0x500 = schema count (35) + flags, exactly as structure_reference §F.4b labels it. There is no 'backup block' here. The audit description mislabels this row."
GN_HIER_SA_001,STRUCTURAL,General,Architecture,In-memory hierarchy: VCB (per-volume) -> FCB (per-file) -> SCB (per-stream) -> CCB (per-handle). Attribute def table at VCB+0xa00 (Win10) / VCB+0xd90 (Win11),No,both,E2,Internal memory structures not documented in published work,
