doc,line,issue,severity,statement,correct,doc_touched_this_pass
attributes/INDEX_ROOT.md,11,INCONSISTENT,low,"Every directory-bearing object ... has exactly one type 0x90 sub-record in its type 0x10 value, containing static parameters for the directory entry B+-tree.","The substance (type 0x90, $I30 directory template) is correct, but the doc titles/labels this attribute '$INDEX_ROOT' while structure_reference.md and finding #278 name the type-0x90 directory templat",True
attributes/INDEX_ROOT.md,1,INCONSISTENT,low,# $INDEX_ROOT ($I30_INDEX) ... **Schema:** 0x190 (embedded type 0x90),Type 0x90 / schema 0x190 is named $I30_INDEX (or $STANDARD_INFORMATION embedded) by the sibling docs and reference; '$INDEX_ROOT' is reserved for type 0xA0 / schema 0x1A0. concepts/attributes.md line ,True
attributes/INDEX_ROOT.md,1,INCONSISTENT,medium,# $INDEX_ROOT ($I30_INDEX) ... Every directory-bearing object ... has exactly one type 0x90 sub-record,"Ground truth reserves the name $INDEX_ROOT for the type 0xA0 / schema 0x1A0 Extended-Attributes directory index ('appears unused'), a DIFFERENT attribute from the embedded type-0x90 $I30_INDEX this do",True
attributes/INDEX_ROOT.md,3,INCONSISTENT,low,**Schema:** 0x190 (embedded type 0x90),"In the F.2 master schema table, schema 0x190 / type 0x90 = $STANDARD_INFORMATION (structure_reference.md line 1260), and this exact label is also used verbatim by STANDARD_INFORMATION.md line 5. The t",True
attributes/INDEX_ROOT.md,76,CONTRADICTED,low,"26,669 sub-records on winsider.raw alone, all byte-identical","The validated Insider census (finding MD_ATTR_RA_017 / batch2_claims.csv line 63) reports type 0x90 = 26668 sub-records across 26668 OIDs on winsider.raw, not 26,669.",True
attributes/INDEX_ROOT.md,3,INCONSISTENT,low,$INDEX_ROOT ($I30_INDEX) — **Schema:** 0x190 (embedded type 0x90),"structure_reference F.2 assigns schema 0x190/type 0x90 to $STANDARD_INFORMATION and $INDEX_ROOT to schema 0x1A0/type 0xA0 (line 1261; finding #169). STANDARD_INFORMATION.md also claims 0x190/0x90, so ",True
attributes/NAMED_DATA.md,7,INCONSISTENT,low,"**Evidence Level:** E2 (decompilation) + RD (raw disk, 958 entries across 46 images)",Authoritative ADS count is 956 across 46 images (findings_register #285; reference_table MD_SNAP_RA_005); glossary.md line 105 states 956. The 958 figure (repeated at line 77) diverges from ground tru,False
attributes/NAMED_DATA.md,77,INCONSISTENT,low,"| Total ADS entries (SS flags = 0), v3.14 | 958 |",956 per findings_register #285 / reference_table MD_SNAP_RA_005 and glossary.md.,False
attributes/NAMED_DATA.md,7,INCONSISTENT,low,"Evidence Level: E2 (decompilation) + RD (raw disk, 958 entries across 46 images)",Authoritative ADS census is 956 ADS (+29 snapshots = 985 total) per findings_register #285; the sibling glossary.md:105 also states '956 ADS observed across 46 images'. This doc (and SNAPSHOT.md:89/11,False
attributes/NAMED_DATA.md,77,INCONSISTENT,low,"Total ADS entries (SS flags = 0), v3.14 | 958 (also line 7: 'raw disk, 958 entries across 46 images')",Authoritative ADS census is 956 (findings_register #285: '956 ADS + 29 snapshots across 111 images'). The doc's 958/46-images differs from ground truth and from the glossary's 956.,False
attributes/NAMED_DATA.md,7,UNSUPPORTED,low,"RD (raw disk, 958 entries across 46 images)",The verified ADS scan is 956 ADS across 46 images (MD_SNAP_RA_005); corpus-wide total is 985 entries / 111 images = 956 ADS + 29 snapshots (findings #284/#285). No reference records 958 entries.,False
attributes/NAMED_DATA.md,21,UNSUPPORTED,low,Both methods agree perfectly across 987 (v3.14) / 1001 (all) entries / 111 images (E2+RD).,Verified dual-discriminator agreement is across 985 entries / 111 images (#284 'agree perfectly across 985 entries / 111 images'; #285 '985 entries total = 956 ADS + 29 snapshots'). 987/1001 appear in,False
attributes/NAMED_DATA.md,77,CONTRADICTED,medium,"Total ADS entries (SS flags = 0), v3.14 | 958","Verified ADS total across the FULL corpus (all versions, 111 images) is 956 (findings #285, MD_SNAP_RA_005). A v3.14-only count of 958 exceeds the corpus-wide 956, so it cannot be correct.",False
attributes/NAMED_DATA.md,79,INCONSISTENT,low,"ADS entries, v3.4 / v3.7 | 13 / 1","958 (v3.14) + 13 (v3.4) + 1 (v3.7) = 972 ADS, but the verified corpus-wide ADS total is 956 (#285). The per-version breakdown sums to more ADS than the confirmed corpus total.",False
attributes/OBJECT_ID.md,5,UNSUPPORTED,low,**Versions:** v3.4+ (all versions),"Ground truth documents $OBJECT_ID as a Win10/Win11 (""Both"") attribute only: how_refs_works.md attribute table row #17 marks Win10 and Win11 present, and insider_analysis.md line 212 explicitly lists $",False
attributes/OBJ_LINK.md,63,CONTRADICTED,low,| 0x04 | 4 | Data area size (u32) | Value length minus 16 |,"The canonical 12-byte common sub-record value header (Subtable C.2c, structure_reference.md line 634) defines Data area size = 'Value length minus 12', not minus 16. A 12-byte header (finding #280: 'u",False
attributes/OBJ_LINK.md,64,UNSUPPORTED,low,| 0x08 | 2 | Constant (u16) | 0x0C | | 0x0A | 2 | Version (u16) | 0x0001 |,Subtable C.2c (structure_reference.md line 635) defines the field at header offset 0x08 as a single 4-byte u32 'Content offset = always 0x0C'. The split into a u16 constant 0x0C plus a separate u16 'V,False
attributes/OBJ_LINK.md,63,CONTRADICTED,medium,| 0x08 | 2 | Constant (u16) | 0x0C | 0x0C |,"Per the common 12-byte header (structure_reference.md C.2c, line 635), offset 0x08 is a 4-byte u32 'Content offset' = 0x0000000C, not a 2-byte u16. Declaring it u16 here is what forces the spurious 'V",False
attributes/OBJ_LINK.md,64,UNSUPPORTED,medium,| 0x0A | 2 | Version (u16) | 0x0001 | 0x0001 |,"No 'Version' field exists in the common sub-record header. Bytes 0x08-0x0B are a single u32 content-offset = 0x0000000C (structure_reference.md C.2c), so 0x0A-0x0B = 0x0000, not 0x0001. No reference/f",False
attributes/OBJ_LINK.md,64,UNSUPPORTED,low,| 0x08 | 2 | Constant (u16) | 0x0C | ... | 0x0A | 2 | Version (u16) | 0x0001 |,"The master common sub-record header (structure_reference.md C.2c L634-636) treats offsets 0x08-0x0B as a single u32 'Content offset' = 0x0000000C, which makes bytes at 0x0A-0x0B equal 0x0000. No refer",False
attributes/REPARSE.md,13,UNSUPPORTED,low,"The reparse index is a system table (OID 0x540/0x541) with key type 0x01, containing 666 entries on a typical v3.14 image.",No reference supports a 666-entry count. The authoritative decode (finding #317) gives per-image counts of 344 (win11refs2tspecials) and 109 (winsider) — 0x540/0x541 being byte-identical mirrors. The ,False
attributes/REPARSE_POINT.md,63,INCONSISTENT,low,"| Type 0x10 sub-records | 47 | File's own OID row (SYMLINK 39, MOUNT_POINT 47 — see note) |","The count column does not reconcile with its own breakdown: Type 0x10 '47' total but lists SYMLINK 39 + MOUNT_POINT 47 = 86; and Type 0x30 '2,037' (line 62) lists 1,968+28+2 = 1,998. Only the per-tag ",False
attributes/REPARSE_POINT.md,62,INCONSISTENT,medium,"| Type 0x30 sub-records | 2,037 | Resident directory entry values (SYMLINK 1,968, APPEXECLINK 28, LX_FIFO 2, MOUNT_POINT 0) |","The type-0x30 breakdown sums to 1,968+28+2 = 1,998, not the stated Count of 2,037 (off by exactly the 39 type-0x10 symlinks that were mis-assigned). Consistent total only with type-0x30=1,998, type-0x",False
attributes/REPARSE_POINT.md,5,CONTRADICTED,medium,**Schema:** 0x1C0 (embedded type 0xC0) / **Versions:** v3.4+ (all versions),"The embedded type-0xC0 / schema-0x1C0 reparse attribute is the v3.7+ ('v2') format, NOT v3.4+. structure_reference.md F.2 line 1263 ('0x1C0 | 0xC0 | $REPARSE_POINT (v2) | ... | v3.7-Insider') and F.3 ",False
attributes/REPARSE_POINT.md,63,INCONSISTENT,low,"Type 0x10 sub-records | 47 | File's own OID row (SYMLINK 39, MOUNT_POINT 47 — see note)","Internal arithmetic conflict: the type-0x10 row gives a total of 47, but the per-tag split immediately below (line 65) states SYMLINK type-0x10 = 39 and MOUNT_POINT = 47 (all type-0x10), which sum to ",False
attributes/SNAPSHOT.md,89,INCONSISTENT,low,| 0x0000 | ADS (alternate data stream) | 958 entries across 46 images |,Ground-truth register gives 956 ADS across 46 images. Source: findings_register #285 ('956 ADS + 29 snapshots') and reference_table MD_SNAP_RA_005 ('956 ADS across 46 images'); sibling doc glossary.md,False
attributes/SNAPSHOT.md,111,INCONSISTENT,low,"| ADS entries (val[0x10]=0), v3.14 | 958 |",Authoritative count is 956 (findings_register #285; reference_table MD_SNAP_RA_005). glossary.md line 105 agrees with 956.,False
attributes/SNAPSHOT.md,123,UNSUPPORTED,low,[$STANDARD_INFORMATION](STANDARD_INFORMATION.md) -- snapshot fields at v3.14 $SI offset 0x58+,"$SI does not store snapshot fields. Per structure_reference.md C.7, v3.14 $SI+0x58 = NextFileId (a directory child-creation ordinal, E28) and $SI+0x74 = NextStreamSetId (E39); neither is a 'snapshot f",False
attributes/SNAPSHOT.md,89,INCONSISTENT,low,0x0000 | ADS (alternate data stream) | 958 entries across 46 images,findings_register #285 (authoritative): 985 entries total = 956 ADS + 29 snapshots; glossary.md:105 states 956 ADS. The 958 (v3.14)/987(v3.14 total)/1001(all) figures here conflict with that 956/985 c,False
attributes/STANDARD_INFORMATION.md,29,OUTDATED,low,"0x38 | DataSize | **allocated** size (8-byte-aligned, = `$DATA` sub-record val+0x18) -- *not* logical; exact logical bytes = val+0x20 (refines E26)","Correct that DataSize = $DATA allocated_size (val+0x18), but finding #325(a) explicitly says to DROP the '(8-byte-aligned)' parenthetical: allocated_size is NOT always 8-aligned (desktop.ini = 129 raw",True
attributes/STANDARD_INFORMATION.md,35,CONTRADICTED,low,| 0x74 | NextStreamSetId | per-file stream-set allocator (base 0xF000); v3.14 only |,"NextStreamSetId ($SI+0x74) is classified v3.7+, not 'v3.14 only': structure_reference.md C.7 line 872 ('Stream-set ID allocator (base 0xF000), v3.7+'), errata E39, and finding #301 all date it v3.7+ (",True
attributes/STANDARD_INFORMATION.md,29,OUTDATED,low,"0x38 | **DataSize** | **allocated** size (8-byte-aligned, = `$DATA` sub-record val+0x18) — *not* logical","The 'allocated size = val+0x18' definition is correct (finding #314, refining E26). But the '(8-byte-aligned)' qualifier is outdated: finding #325(a) verified DataSize == $DATA allocated_size in 36/36",True
attributes/VOLUME_INFORMATION.md,31,UNSUPPORTED,low,| 0x98 | 8 | Secondary FILETIME slot | Propagated to VCB+0x208/0x210; 0 on all sampled volumes |,"The 'Propagated to VCB+0x208/0x210' detail has no backing in structure_reference (Subtable F.4b documents only +0x80/+0x81/+0x82/+0x83/+0x90/+0xA0 of the 0x520 blob), errata, or findings #181/#306/#31",False
attributes/VOLUME_INFORMATION.md,34,UNSUPPORTED,medium,"A merely-mounted (not upgraded) v3.4 volume under Win11 shows **vol=3.4, drv=3.14**.",No corpus image exhibits a mounted-but-not-upgraded vol=3.4/drv=3.14 state. deep_volume_info.md verdict: mounting an older volume under Win11/Insider triggers automatic format upgrade (VBR+VOL both ad,False
concepts/architecture.md,105,CONTRADICTED,medium,If encrypted: EfsEncryptStream,"The encryption function is RefsEncryptStream; 'EfsEncryptStream' does not exist in the binary (errata E35; function_catalog has RefsEncryptStream in refs_win11/insider, none named EfsEncryptStream). S",True
concepts/architecture.md,121,CONTRADICTED,medium,"`RefsCommonWrite` 24%, reflecting new rename- and write-time handling of snapshots, encryption, and compression.",RefsCommonWrite did not grow ~24% win10->win11; it SHRANK ~11% (14068 -> 12543 bytes per function_catalog.csv). No source supports the +24% figure,True
concepts/architecture.md,121,UNSUPPORTED,medium,`RefsCommonSetInformation` grew 71% ... reflecting new rename- and write-time handling of snapshots,"RefsCommonSetInformation grew ~15% win10->win11 (4365 -> 5039 bytes per function_catalog.csv), not 71%; the 71% figure has no backing in the verified reference/intelligence material",True
concepts/architecture.md,117,INCONSISTENT,low,Checksum consolidation: 96 CRC template specializations plus CmsChecksumNone consolidated into a single polymorphic CmsChecksum class,Master reference says 56 per-page-type checksum templates (structure_reference.md L1408; reference_table.csv GN_ARCH_004/GN_MISC_008). Only findings_register #14 says 96 -- ground truth disagrees with,True
concepts/architecture.md,105,OUTDATED,medium,│ └─ If encrypted: EfsEncryptStream,"The EFS encrypt function is RefsEncryptStream, not 'EfsEncryptStream'. errata E35.",True
concepts/attributes.md,64,INCONSISTENT,low,"$STANDARD_INFORMATION | 0x10 | 0x90 | 0x110/0x190 | Timestamps, flags, security ID","Embedded type 0x90 = $I30_INDEX (schema 0x190), per #278/#303 and the doc's own line 74. $SI is not an embedded 0x90 sub-record (it occupies the type-0x10 value body, schema 0x110); the 0x90/0x190 ass",False
concepts/bootstrap_chain.md,48,CONTRADICTED,medium,Self-descriptor with CRC32-C (verified on mount) [CHKP],"The CHKP self-checksum is an 8-byte CRC64 (not CRC32-C), verified at mount via ChooseCheckpointRecord @217054 (finding #332; structure_reference.md A.4 line 151).",True
concepts/bootstrap_chain.md,33,INCONSISTENT,low,**Cluster size** (offset 0x24): needed to convert LCNs to byte offsets,"VBR offset 0x24 (u32) is 'Sectors per cluster' (8 for 4 KiB, 128 for 64 KiB), NOT cluster size. Cluster size is a derived value = bytes_per_sector (0x20) x sectors_per_cluster (0x24). structure_refere",True
concepts/bootstrap_chain.md,48,CONTRADICTED,medium,Self-descriptor with CRC32-C (verified on mount),"CHKP self-checksum is an 8-byte CRC64, not CRC32-C (verified at mount is correct). structure_reference.md §A.4 ('8-byte CRC64 self-checksum verified at mount', ChooseCheckpointRecord @217054); finding",True
concepts/bootstrap_chain.md,33,INCONSISTENT,low,Cluster size (offset 0x24): needed to convert LCNs to byte offsets,"VBR offset 0x24 is 'Sectors per cluster' (u32 = 8 for 4 KiB or 128 for 64 KiB), NOT the cluster size in bytes. Cluster size is derived = bytes_per_sector (0x20) x sectors_per_cluster (0x24). structure",True
concepts/bootstrap_chain.md,75,INCONSISTENT,low,It is the only table that can be read without translation (roots 7/8 use physical LCNs).,"Not the only one: root 12 (Small Allocator, Table ID 0x22) also uses Real (physical) LCNs and reads directly without translation. structure_reference.md A.4b lines 213/215; the same doc states this on",True
concepts/bootstrap_chain.md,47,OUTDATED,medium,Self-descriptor with CRC32-C (verified on mount) [for CHKP],"CHKP self-descriptor is an 8-byte CRC64 (verified at mount), not CRC32-C. finding #332 / structure_reference L151.",True
concepts/checksum_architecture.md,13,CONTRADICTED,medium,"SUPB └─ CRC32-C self-descriptor (structural only, not verified on mount)",SUPB self-checksum is 8-byte CRC64 and is verified on mount (finding #332; structure_reference.md A.3).,True
concepts/checksum_architecture.md,31,CONTRADICTED,medium,SUPB | CRC32-C (self-descriptor) ... CHKP | CRC32-C (self-descriptor),"Both SUPB and CHKP self-descriptors use an 8-byte CRC64 self-checksum, not CRC32-C (finding #332; structure_reference.md A.3/A.4 lines 133-156).",True
