ref_id,class,verdict,n_pass,n_applicable,correspondence,canonical_claim,static_artifact,disk_probe,validation,axis,reverify_verdict,reverify_evidence
GN_PAGE_006,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,Page Header: 0x20-0x40: page address LCN quadruple,,page_consistency,proofs/validation/GN_PAGE_006.csv,none,CONFIRMED-ALLDISK,"page+0x20-0x40 = 4x u64 LCN quadruple. On 4K (page=4 clusters): slots = [self, self+1, self+2, self+3] verified on 106/106 4K images (every MSB+ page: lcn_seq==msb_n). On 64K (page=1 cluster): slot0=self (lcn0_self high, e.g. 267/395, 1027/1221), slots1-3 not sequential because page is single-cluster — the [LCN,LCN,0,0] / single-LCN form. SUPB/CHKP slots1-3 = 0 on 111/111."
GN_PAGE_RA_001,PURE-RD-LAYOUT,CONFIRMED,107,107,OK,Page Header: Page header LCN tuple (0x20-0x38): MSB+ pages store 4 consecutive cluster LCNs (self self+1 self+2 self+3) ,,page_consistency,proofs/validation/GN_PAGE_RA_001.csv,cluster,CONFIRMED-ALLDISK,"4K MSB+ pages: LCN tuple slots[1,2,3] == self+1,+2,+3 on 106/106 4K images (every page). SUPB/CHKP slots1-3 == 0 on 111/111. (On 64K the page is 1 cluster so the +1/+2/+3 extension does not apply — claim is implicitly 4K-page-scoped.)"
CT_CTBL_003,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,Container Table: Translation: CN = LCN & (CPC - 1),proofs/static/Translator__forefst.txt,cpc,proofs/validation/CT_CTBL_003.csv,cluster,CONFIRMED-ALLDISK,"Translator mask=CPC-1 (0x3FFF for 4K, 0x3FF for 64K). tr(base+5)==phys+5 verified within container on 113/113."
CT_CTBL_004,STRUCTURAL,CONFIRMED,112,112,OK,Container Table: Translation: PCN = CSC + CN,proofs/static/Translator__forefst.txt,ct_translate,proofs/validation/CT_CTBL_004.csv,none,CONFIRMED-ALLDISK,"physical_LCN = container_map[cid] + (vlcn & mask). tr(cid<<shift)==container_phys_start on 113/113 images. Container Allocator root#2 untranslated page=zeros, translated page=MSB+ on 113/113."
CT_CTBL_007,PURE-RD-LAYOUT,CONFIRMED,5,5,OK,"Container Table: 0xD0-0xD8: physical start LCN (64K clusters, Prade)",proofs/static/_parse_ct_page__forefst.txt,ct_row,proofs/validation/CT_CTBL_007.csv,cluster,CONFIRMED-ALLDISK,value+0xD0 == value[len-16] (physical start) on 278873/278873 224-byte rows (64K AND SHA256 images).
CT_CTBL_009,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,Container Table: 0x10-0x17: Container ID (Lee),proofs/static/_parse_ct_page__forefst.txt,ct_row,proofs/validation/CT_CTBL_009.csv,none,CONFIRMED-ALLDISK,Container ID (u64) at key+0x00 AND value+0x00 (redundant). cid_val==cid_key on 796688/796688 rows. IDs start at 2.
CT_CTBL_010,PURE-RD-LAYOUT,CONTESTED,0,112,OK,Container Table: 0xA0-0xA7: CSC starting position (Lee),proofs/static/_parse_ct_page__forefst.txt,ct_row,proofs/validation/CT_CTBL_010.csv,none,CONTRADICTED,"value+0xA0 is OUT OF BOUNDS for 160B (4K) rows (last offset 0x9F). For 224B rows, value[0xA0:0xA8]=zeros. The actual CSC (Container Start Cluster) is at value[len-16]=0x90(160B)/0xD0(224B), NOT 0xA0. The CT-root-PAGE header+0xA0 holds a small count (0xf/0x7), not a CSC."
CT_CTBL_RA_004,STRUCTURAL,CONFIRMED,112,112,OK,"Container Table: Container Allocator (root #2, Table ID 0x20) uses VIRTUAL addressing on ALL versions — contradicts Prad",proofs/static/parse_chkp__forefst.txt,chkp_root_table,proofs/validation/CT_CTBL_RA_004.csv,version,CONFIRMED-ALLDISK,"Container Allocator root#2: untranslated page@vlcn=0x00000000, translated page@plcn=MSB+ on 113/113 images, INCLUDING v3.4 (win10refs8g, win10refs5g64k). Both cluster sizes."
CT_CTBL_RA_006,STRUCTURAL,CONFIRMED,112,112,OK,Container Table: Deep container row structure: 160-byte (4K/CRC64) with 13 decoded fields. 224-byte (64K or SHA256) with,proofs/static/_parse_ct_page__forefst.txt,ct_row,proofs/validation/CT_CTBL_RA_006.csv,cluster,CONFIRMED-ALLDISK,"Universal parsing: CPC@value+0x18 on 796688/796688; physical start at value[len-16] (0x90 for 160B, 0xD0 for 224B) on 796688/796688. 160B=4K/CRC64 (13 fields); 224B=64K-or-SHA256 with 128B (vs 64B) integrity buffer at 0x50+. E2: GetNumAllocatedForContainerEntry + PersistContainerCacheWorker present in win11/insider decomp."
GN_PREF_001,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,Page Reference: 0x00-0x20: referenced page LCN quadruple,proofs/static/parse_chkp__forefst.txt,pref_field,proofs/validation/GN_PREF_001.csv,none,,
GN_PREF_002,STRUCTURAL,CONFIRMED,112,112,OK,"Page Reference: 0x22-0x23: checksum type (1=CRC32-C, 2=CRC64 [custom poly, NOT ECMA-182, #326])",proofs/static/parse_chkp__forefst.txt,pref_field,proofs/validation/GN_PREF_002.csv,checksum,CONFIRMED-ALLDISK,self-checksum cktype 1=CRC32-C(4K)/2=CRC64(64K)/4=SHA256 recomputed
GN_PREF_003,STRUCTURAL,CONFIRMED,112,112,OK,Page Reference: 0x24-0x26: checksum length,proofs/static/parse_chkp__forefst.txt,pref_field,proofs/validation/GN_PREF_003.csv,checksum,,
FS_SUPB_001,STRUCTURAL,CONFIRMED,112,112,OK,Superblock: Located at cluster 0x1E (30),proofs/static/parse_supb__forefst.txt,supb_int,proofs/validation/FS_SUPB_001.csv,none,CONFIRMED-ALLDISK,SUPB signature present at cluster 0x1E (30) on 48/48 unique ReFS images (all versions/cluster/cksum). parse_supb reads it there and bootstrap succeeds.
GN_PAGE_007,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,Page Header: 0x40-0x50: table identifier (high+low),proofs/static/build_object_map__forefst.txt,page_const,proofs/validation/GN_PAGE_007.csv,none,CONFIRMED-STATIC,"STATIC-RESOLVED 2026-06-18: FormatPageHeaderInternal writes page+0x40=TableIdHigh(id+0x178, always 0), page+0x48=TableIdLow(id+0x180, the numeric table OID, compared ==5/==6/1-4); 16-byte OID key. Original '0x40-0x50 high+low' CONFIRMED. RD: 0x40==0 on 137,444/137,444 pages. (The earlier 'page+0x40 reserved' re-measure was the over-correction; the doc 'Schema' label was the only error.)"
FS_VBR_009,STRUCTURAL,CONFIRMED,109,109,OK,VBR: 0x28-0x2A: major/minor ReFS version,proofs/static/parse_vbr__forefst.txt,version_consistency,proofs/validation/FS_VBR_009.csv,version,CONFIRMED-ALLDISK,"VBR 0x28-0x29 packed (major.minor) == manifest version on 113/113 (0 mismatches). Packed values: 3.4=0x0304, 3.7=0x0307, 3.9=0x0309, 3.10=0x030A, 3.14=0x030E, plus test-edited 3.15/6.66."
FS_CHKP_003,PURE-RD-LAYOUT,CONFIRMED,109,109,OK,Checkpoint: 0x56-0x58: minor ReFS version,proofs/static/parse_chkp__forefst.txt,version_consistency,proofs/validation/FS_CHKP_003.csv,version,CONFIRMED-ALLDISK,"CHKP+0x56 (u16 minor) observed values 14(36 imgs),4(9),7(1),9(1),10(1) — every value in the documented {4,7,9,10,14} set, none outside."
FS_VBR_012,STRUCTURAL,CONFIRMED,112,112,OK,"VBR: 0x2A-0x37: 14 bytes unknown in Nordvik/Prade. 0x2A=checksum algo selector, 0x2B=reserved, 0x2C-0x2F=volume flags (0",proofs/static/parse_vbr__forefst.txt,field_plausible,proofs/validation/FS_VBR_012.csv,checksum,CONTRADICTED,"Offsets confirmed: 0x2B==0 on 113/113 (reserved), 0x30-0x37==0000000000000000 on 113/113 (reserved). BUT the parenthetical flag characterization '0x06 Win10 / 0x66 Win11' is incomplete: 0x2C distribution = {0x06:15(v3.4 + upgraded), 0x66:90, 0x26:4(v3.7/v3.9 + upgraded), 0x04:1(fixboot), 0x63:2, 0x6666:1 (the last three are 'afterchangingvolumeflags' test images)}."
FS_VBR_006,STRUCTURAL,CONFIRMED,112,112,OK,VBR: 0x18-0x20: sector count (volume size),proofs/static/parse_vbr__forefst.txt,field_plausible,proofs/validation/FS_VBR_006.csv,none,CONFIRMED-ALLDISK,"le64(VBR,0x18) sector-count >0 on 113/113 (e.g. fixboot 4294836224 = ~2TB). Geometry preserved even on fixboot."
FS_VBR_010,STRUCTURAL,CONFIRMED,111,111,OK,VBR: 0x38-0x40: volume serial number,proofs/static/parse_vbr__forefst.txt,field_plausible,proofs/validation/FS_VBR_010.csv,none,CONFIRMED-ALLDISK,"le64(VBR,0x38) volume serial !=0 on 112/113. The single zero is win11refs2tmillionsofactions_aftersalvage_fixboottest.raw (a refsutil-fixboot image, which by design zeroes the serial -- see FS_VBR_RA_005)."
FS_VBR_005,STRUCTURAL,CONFIRMED,112,112,OK,VBR: 0x16-0x18: checksum for boot sector,,field_plausible,proofs/validation/FS_VBR_005.csv,none,CONFIRMED-ALLDISK,"ROR1+ADD checksum over bytes 3..511 EXCLUDING 0x16/0x17 == stored le16(VBR,0x16) on 113/113. Without the 0x16/0x17 exclusion: 0/113 match (proves the exclusion is required). Fixboot image stored=0xfa81 recompute=0xfa81 (refsutil recomputed it)."
FS_SUPB_002,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,Superblock: 0x50-0x60: volume GUID,proofs/static/parse_supb__forefst.txt,field_plausible,proofs/validation/FS_SUPB_002.csv,none,CONFIRMED-ALLDISK,"SUPB+0x50..0x5F is a 16-byte Volume GUID, nonzero on 48/48. Page-header volume-signature at 0x0C == XOR of the four GUID dwords on 48/48 (corroborates that 0x50 is the GUID)."
FS_SUPB_006,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,Superblock: 0x78-0x7C: self-descriptor offset/length,proofs/static/parse_supb__forefst.txt,field_plausible,proofs/validation/FS_SUPB_006.csv,none,CONFIRMED-ALLDISK,"SUPB+0x78 self-descriptor OFFSET == 0xD0 on 48/48; SUPB+0x7C LENGTH = 0x30 (32 imgs, v3.14 CRC-class), 0x68 (12 imgs, v3.4), 0x48 (4 imgs, SHA-256). Self-descriptor at 0xD0 has dataoff byte +0x23==0x08 on 48/48."
FS_CHKP_004,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,Checkpoint: 0x58-0x5C: self-descriptor offset,proofs/static/parse_chkp__forefst.txt,field_plausible,proofs/validation/FS_CHKP_004.csv,none,CONFIRMED-ALLDISK,"CHKP+0x58 (u32, table-descriptor end / self-descriptor offset) == 0xE0 (33 imgs, v3.14), 0xD0 (12, v3.4-3.10), 0xE8 (3, Insider). Matches documented version-keyed values exactly."
FS_CHKP_005,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,Checkpoint: 0x60-0x68: checkpoint virtual clock,proofs/static/parse_chkp__forefst.txt,field_plausible,proofs/validation/FS_CHKP_005.csv,none,CONFIRMED-ALLDISK,CHKP virtual clock: header(0x10) == body(0x60) on 48/48 (both copies).
FS_CHKP_006,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,Checkpoint: 0x68-0x70: allocator virtual clock,proofs/static/parse_chkp__forefst.txt,field_plausible,proofs/validation/FS_CHKP_006.csv,none,CONFIRMED-ALLDISK,CHKP+0x68 allocator clock <= CHKP+0x60 virtual clock on 48/48.
FS_VINF_001,STRUCTURAL,CONFIRMED,112,112,OK,"Volume Info Table: Volume label row (key 0x510, UTF-16)",proofs/static/build_object_map__forefst.txt,vinf_row,proofs/validation/FS_VINF_001.csv,none,CONFIRMED-ALLDISK,"OID 0x500 key-type 0x510 row present and value decodes as UTF-16LE label on 113/113 ReFS images (winsider has empty label = allowed). Key is 8B (type u16@0x00, pad to 0x08)."
FS_VINF_002,STRUCTURAL,CONFIRMED,112,112,OK,"Volume Info Table: General info: creation/mount times, version",proofs/static/build_object_map__forefst.txt,vinf_row,proofs/validation/FS_VINF_002.csv,none,CONFIRMED-ALLDISK,"OID 0x500 key 0x520 (vlen=448) present on 113/113. Layout holds: vol version@+0x80/+0x81, drv version@+0x82/+0x83, create FILETIME@+0x90, modify FILETIME@+0xA0. vol-ver@+0x80 == bootstrap version on 110/113."
FS_VINF_003,STRUCTURAL,CONFIRMED,112,112,OK,Volume Info Table: Backup block row (key 0x540),proofs/static/build_object_map__forefst.txt,vinf_row,proofs/validation/FS_VINF_003.csv,none,CONTRADICTED,"OID 0x500 key 0x540 (keylen=8, vallen=16) decodes as schema_count u32@+0x00 = 0x23 (35) + flags u32@+0x08 = 1 on 113/113. val_hex=23000000 00000000 01000000 00000000. This is the schema-count/flags row, NOT a 'backup block'."
FS_CHKP_RA_012,PURE-RD-LAYOUT,CONTESTED,84,112,OK,Checkpoint: CHKP 0x8C: Max root capacity. Always 0x20 (32) across all versions and configurations. Represents maximum nu,proofs/static/parse_chkp__forefst.txt,chkp_int,proofs/validation/FS_CHKP_RA_012.csv,none,CONTRADICTED,"CHKP+0x8C is 0x20 OR 0x0 (native-v3.14 zeroes), not always 32"
FS_CHKP_RA_013,STRUCTURAL,CONTESTED,103,112,OK,"Bootstrap Chain: Three forensically distinguishable volume states via CHKP flags: original v3.4 (0x002), upgraded v3.4->",proofs/static/parse_chkp__forefst.txt,field_plausible,proofs/validation/FS_CHKP_RA_013.csv,none,CONFIRMED-ALLDISK,"Three volume states via CHKP flags reproduce: 0x002 (v3.4 original, 11 imgs), 0x602 (upgraded: no 0x080, has 0x200+0x400, 1 img), 0x682 (native v3.14: has 0x080, 30 imgs). Bit 0x080 (native marker) distinguishes native from upgraded on 48/48. Also 0x082(v3.10),0x7b2(dedup),0x2682(insider) observed."
FS_CHKP_RA_001,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,"Checkpoint: CHKP flags (0x78-0x7B) full decomposition: bit 0x002=always set, bit 0x080=native Win11 format (format-time ",proofs/static/parse_chkp__forefst.txt,field_plausible,proofs/validation/FS_CHKP_RA_001.csv,none,CONFIRMED-ALLDISK,"CHKP+0x78 flags: bit 0x002 set on 48/48 (every copy). Observed composites 0x682(30),0x002(11),0x2682(3),0x7b2(2),0x602(1),0x082(1) — all match documented A.4a set. Bit 0x080 present iff native(not upgraded), 0x200/0x400 present on v3.14."
FS_VBR_RA_004,ABSENCE,CONFIRMED,112,112,OK,VBR: BitLocker FVE marker '-FVE-FS-' at VBR+0x03 replaces ReFS signature when volume is encrypted,,absent,proofs/validation/FS_VBR_RA_004.csv,corpus,CONFIRMED-ALLDISK,win11refs4gbitlocked.raw (GPT part @16MiB) has VBR[0x03:0x0B]=='-FVE-FS-' exactly where 'ReFS' sits on unencrypted volumes. 1/1 image that exercises BitLocker.
FS_SUPB_RA_005,PURE-RD-LAYOUT,CONFIRMED,112,112,OK,Superblock: CHKP LCN pointers at SUPB offsets 0xC0 and 0xC8 are the only bootstrap-critical SUPB fields. If both are cor,proofs/static/parse_supb__forefst.txt,field_plausible,proofs/validation/FS_SUPB_RA_005.csv,none,CONFIRMED-ALLDISK,SUPB+0xC0 and +0xC8 hold the two checkpoint LCNs; both land on valid CHKP pages on 48/48; offset matches SUPB+0x70(==0xC0). These are the bootstrap-critical pointers.
FS_OTBL_SA_004,BEHAVIORAL,STATIC-CONFIRMED,1,1,OK,Object Table: MsSetMinimumNewObjectId: format-time initialization that HARDCODES 0x700 as minimum user OID. Called durin,proofs/static/MsSetMinimumNewObjectId__decomp.txt,static_dossier,proofs/validation/FS_OTBL_SA_004.csv,none,,
FS_OTBL_SA_006,BEHAVIORAL,STATIC-CONFIRMED,1,1,OK,Object Table: MsInitializeWellKnownObjectId: trivial 12-byte helper constructing 128-bit SmsBigIdentifier from a 64-bit ,proofs/static/MsInitializeWellKnownObjectId__decomp.txt,static_dossier,proofs/validation/FS_OTBL_SA_006.csv,none,,
FS_OTBL_SA_007,BEHAVIORAL,STATIC-CONFIRMED,1,1,OK,Object Table: MsGetObjectRecordPayload: 46-byte helper extracting LcnWithChecksum pointer from Object Table row. Returns,proofs/static/MsGetObjectRecordPayload__decomp.txt,static_dossier,proofs/validation/FS_OTBL_SA_007.csv,none,,
