# Central provenance / audit register — one row per docs page.
# Holds the provenance that used to live in each page's footer (verification status +
# evidence grades + finding IDs) plus its last-audited date. Page footers were removed
# 2026-07-08; update a page's row here when it is re-audited.
# Columns: page<TAB>status<TAB>evidence<TAB>findings<TAB>last_audited<TAB>note
page	status	evidence	findings	last_audited	note
concepts/version_evolution.md	CONFIRMED	E2/RD	FN_LINK_001, FS_CHKP_RA_001, FS_CHKP_RA_003, FS_CHKP_RA_007, FS_CHKP_RA_009, FS_OTBL_RA_001, FS_SCHM_RA_003, FS_SCHM_RA_004, FS_SCHM_RA_009, FS_SCHM_RA_011, FS_VBR_009, FS_VBR_012, FS_VBR_RA_002, FS_VBR_RA_009, GN_HEAT_SA_001, GN_INS_SA_002	2026-06-22	
concepts/virtual_addressing.md	CORRECTED	E2/RD	CT_CTBL_002, CT_CTBL_003, CT_CTBL_004, CT_CTBL_RA_007, FS_CHKP_021, GN_ARCH_003, GN_ARCH_RA_001	2026-06-22	
concepts/what_survives.md	CONFIRMED	E2/RD	AP_LGFL_005, FS_SECD_RA_001, MD_SNAP_RA_002, MD_SNAP_RA_003, CT_DRNT_RA_001, GN_SNAP_SA_001, FS_CHKP_RA_014, AP_LGFL_RA_008, AP_LGFL_RA_004, FS_OTBL_RA_008, FS_VBR_RA_013, FS_DEL_RA_005	2026-06-22	
concepts/windows_file_systems.md	CONFIRMED	E2	GN_IRP_SA_001, GN_HIER_SA_001, GN_ARCH_SA_001	2026-06-22	
concepts/wsl_metadata.md	CONFIRMED	E2/RD	FS_REPS_RA_003, FS_REPS_RA_002, MD_ATTR_RA_010, MD_ATTR_RA_012	2026-07-03	LX_SYMLINK producibility, E57
examples/README.md	Reference	—	—	2026-06-22	
examples/decode_vbr_by_hand.md	CONFIRMED	RD (2 disk images, by-hand decode + tool cross-check)	FS_VBR_005, FS_VBR_008, FS_VBR_009, FS_VBR_011, FS_VBR_012, FS_VBR_RA_011	2026-06-15	
examples/detect_timestomping.md	CONFIRMED	RD (controlled `SET_TIMESTAMPS` ground truth)	MD_TS_RA_004, FS_VOLI_RA_001, FS_VINF_002	2026-06-15	
examples/find_a_deleted_file.md	CONFIRMED	RD	FS_CHKP_RA_014, FS_DEL_RA_005	2026-06-15	
examples/identify_native_vs_upgraded.md	CONFIRMED	RD (2 disk images: `summary++` tool run + by-hand VBR decode at 0x28/0x2A/0x2C/0x48)	FN_LINK_001, FS_CHKP_RA_001, FS_CHKP_RA_013, FS_VBR_009, FS_VBR_012, FS_VBR_RA_002, FS_VBR_RA_011, FS_VBR_RA_012	2026-06-15	
examples/read_a_hard_link_group.md	CONFIRMED	RD	FN_LINK_002, FN_LINK_003 (E59), FS_OTBL_RA_008, MD_SI_RA_009, MD_SI_RA_001	2026-06-20	
glossary.md	—	RD	GN_PREF_002, FS_SUPB_001, FS_SUPB_007, FS_CHKP_005, FS_SUPB_005, FS_SUPB_RA_003	2026-06-20	
methodology.md	Reference	—	—	2026-06-23	
structures/README.md	Reference	E2/RD	FS_SUPB_006, FS_CHKP_004, GN_PREF_002, FS_CHKP_RA_015	2026-06-22	
structures/allocators.md	CONFIRMED	E2/RD	CT_ALLC_RA_001, CT_ALLC_001, CT_ALLC_002, CT_ALLC_003, GN_ARCH_RA_001, GN_ALLC_SA_001, FS_CHKP_010, FS_CHKP_011, FS_CHKP_021	2026-06-22	
structures/block_refcount.md	CORRECTED	E2/RD	FS_CHKP_015, CT_BKRC_001, CT_BKRC_RA_001, CT_BKRC_RA_002	2026-06-22	
structures/btree_node.md	CONFIRMED	E1/E2/RD	GN_ARCH_001, GN_ARCH_005, GN_PAGE_007, GN_IDXR_004	2026-06-22	
structures/chkp.md	CONFIRMED	E1/E2/E3/RD	FS_CHKP_RA_001, FS_CHKP_RA_012, FS_CHKP_RA_005, FS_CHKP_RA_013	2026-06-22	
structures/container_index.md	CONFIRMED	E1/E2/RD	CT_ALLC_003, CT_CNTX_001, FS_CHKP_019	2026-06-22	
structures/container_table.md	CONFIRMED	E2/RD	GN_ARCH_003, FS_CHKP_016, CT_CTBL_001–011, GN_ARCH_RA_001, AP_REDO_037	2026-06-22	
structures/directory_entries.md	CONFIRMED	E2/RD	FS_OTBL_RA_008, FN_LINK_002, FN_DTBL_005, GN_IENT_001, MD_DDIR_005	2026-06-22	
structures/extent_descriptors.md	CONFIRMED	E2/RD	MD_DATA_RA_001, MD_DATA_RA_007, MD_DATA_RA_002, MD_DATA_RA_009, MD_DATA_RA_011, CT_DRNT_RA_001, MD_SNAP_RA_003	2026-06-22	
structures/integrity_state.md	CONFIRMED	E2/RD	FS_CHKP_020, CT_INTS_001	2026-06-22	
structures/mlog.md	CORRECTED	E2/RD/E3	AP_REDO_001–040, AP_LGFL_RA_008	2026-06-22	
structures/object_table.md	CONFIRMED	E2/RD	FS_OTBL_002, FS_OTBL_RA_002, FS_OTBL_RA_006, FS_OTBL_SA_001, FS_OTBL_SA_004, FS_OTBL_SA_005, FS_OTBL_003	2026-06-22	
structures/page_header.md	CONFIRMED	E1/E2/RD	GN_PAGE_001–007, GN_PAGE_RA_001, GN_PAGE_RA_002, FS_SUPB_RA_001	2026-06-22	
structures/page_references.md	CONFIRMED	E2	GN_PREF_002, FS_SUPB_006, FS_CHKP_004, FS_SUPB_RA_003	2026-06-22	
structures/parent_child_table.md	CONFIRMED	E2/RD	FS_PCTB_RA_001, FS_PCHL_001, FS_OTBL_SA_010	2026-06-22	
structures/reparse_points.md	CORRECTED	E2/RD	FS_REPS_RA_001, FS_REPS_RA_003, FS_REPS_RA_002, MD_ATTR_RA_010, MD_ATTR_RA_012, MD_SI_RA_001	2026-06-22	
structures/reverse_index.md	CONFIRMED	E2/RD	FN_DTBL_003, MD_DISK_RA_010, MD_CS_RA_002	2026-06-22	
structures/schema_table.md	CONFIRMED	E1/E2/E3/RD	FS_SCHM_001, FS_SCHM_RA_008, FS_PCTB_RA_001, FS_SECD_RA_003, FS_SCHM_RA_005, FS_SCHM_RA_010, MD_TS_RA_005, MD_UNSUP_RA_001	2026-06-22	
structures/security_descriptors.md	CONFIRMED	E2/RD	MD_SECT_001, FS_SECD_RA_001, FS_SECD_RA_002, FS_SECD_RA_003	2026-06-22	
structures/supb.md	CONFIRMED	E2/RD	FS_SUPB_007, FS_SUPB_001, FS_CHKP_005, FS_SUPB_005, FS_SUPB_RA_003	2026-06-22	
structures/system_oids.md	CONFIRMED	E2/RD	FS_OTBL_SA_004, FS_OTBL_SA_005, FS_OTBL_005, FS_OTBL_RA_001, FS_OTBL_RA_003, FS_OTBL_RA_005, FS_REPS_RA_001, FS_SCHM_RA_001, FS_SECD_RA_001, MD_SECT_001	2026-06-22	
structures/trash_table.md	CONFIRMED	E2/RD	FS_OTBL_RA_003, FS_SCHM_RA_001, FS_DEL_RA_001, CT_MISC_002	2026-06-22	
structures/upcase_table.md	CONFIRMED	E2/RD	FS_UPCS_001	2026-06-22	
structures/usn_journal.md	CONFIRMED	E2/RD	MD_USN_RA_001, MD_USN_RA_002, MD_USN_RA_003, MD_USN_RA_004, AP_CHJN_001, AP_CHJN_002, AP_CHJN_004, MD_SI_RA_013, MD_SI_RA_015, FS_OTBL_005	2026-06-22	
structures/vbr.md	CONFIRMED	E1/E2/RD	GN_PREF_002	2026-06-22	
structures/volume_info.md	CONFIRMED	E1/E2/RD	FS_VINF_001, FS_VINF_RA_001, FS_OTBL_RA_004, FS_OTBL_SA_006	2026-06-22	
test_baseline_images.md	—	RD	—	2026-06-15	
tools/README.md	Reference	—	—	2026-06-30	
tools/forefst.md	CONFIRMED (tool — subcommand behavior code-verified + all-disk validated)	E2/RD	FN_LINK_002, FS_OTBL_RA_008, FS_SUPB_001, FS_CHKP_005	2026-06-30	
tools/refsanalysis.md	CONFIRMED (tool — subcommand behavior code-verified + all-disk validated)	E2/RD	FN_LINK_002, FS_SUPB_001, FS_CHKP_005, FS_SUPB_005	2026-06-30	
